,features
0,2.078029871
1,0.915112019
2,1.407553434
3,1.087075591
4,1.939303041
5,1.641251564
6,2.117400885
7,2.849316597
8,0.581769645
9,1.749460578
10,1.136620998
11,1.505092263
12,1.68705678
13,1.218833804
14,2.534619808
15,3.238137722
16,1.641836286
17,0.603279471
18,1.013181925
19,1.854188323
20,1.791294217
21,1.830287814
22,2.326961994
23,1.981346965
24,0.887773693
25,1.24988687
26,0.630389452
27,0.884684205
28,1.533142567
29,1.57599175
30,1.487073898
31,1.120512724
32,2.285726547
33,0.759738266
34,1.197913766
35,1.042057276
36,2.115468264
37,1.212637663
38,2.105783224
39,2.763006449
40,0.339075774
41,1.843765259
42,0.53081727
43,1.181282043
44,1.695772767
45,1.403229594
46,2.617651224
47,2.670502424
48,1.38066566
49,0.580234706
50,1.144005537
51,1.604550958
52,1.759169817
53,1.620237112
54,2.245291233
55,2.231626034
56,0.886195242
57,1.294727445
58,0.551201463
59,1.05521667
60,1.608166695
61,1.556916118
62,1.364207506
63,1.303186536
64,2.31246686
65,1.041660309
66,1.667169094
67,1.093551874
68,2.081412792
69,1.152543068
70,1.856562614
71,2.76789093
72,0.284314066
73,1.97218883
74,0.754690528
75,1.473992944
76,1.139448404
77,1.143648982
78,2.575456858
79,3.314292431
80,1.465864539
81,0.693559349
82,1.283999443
83,1.896123528
84,1.809832573
85,1.665236712
86,2.282645226
87,2.12354207
88,1.231081009
89,1.460653901
90,0.602889538
91,0.954568744
92,1.602082372
93,1.290108562
94,1.447686672
95,1.306353688
96,2.182900667
97,0.733795643
98,1.706992269
99,0.951033235
100,2.02425909
101,0.999822855
102,2.161477804
103,2.82955265
104,0.346898317
105,1.69055593
106,0.526085734
107,1.146495581
108,1.528314829
109,1.561609507
110,2.575553417
111,3.16724062
112,1.678405404
113,0.486197621
114,1.324741244
115,1.867675781
116,1.721891403
117,1.509126663
118,2.260600805
119,2.577592134
120,1.240727901
121,1.364492416
122,0.631220341
123,0.913566291
124,1.607282281
125,1.14904964
126,1.247883677
127,1.179013133
128,2.413540363
129,1.007348299
130,1.311847091
131,0.963468969
132,1.950349092
133,1.344869375
134,1.969715714
135,2.849283457
136,0.502016485
137,1.949387789
138,1.112307429
139,1.719439387
140,1.472503185
141,1.259275317
142,2.685050964
143,2.866275072
144,1.581414223
145,0.622198641
146,1.331232429
147,1.87302196
148,1.80345571
149,1.572397709
150,2.406592131
151,2.249180079
152,0.960726261
153,1.28767705
154,0.589881599
155,0.895019591
156,1.745661855
157,1.399291992
158,1.486059666
159,1.506269217
160,2.264630556
161,0.967585504
162,1.95516336
163,1.288104892
164,2.014059544
165,1.299273491
166,2.124316931
167,2.709666967
168,0.596540511
169,1.691300154
170,0.909232318
171,1.541829824
172,1.404604554
173,1.263189435
174,2.427954674
175,3.196944714
176,1.68208456
177,0.595665455
178,1.526428819
179,1.679073811
180,1.591429949
181,1.735752106
182,2.510302067
183,2.278032541
184,0.991099775
185,1.300236344
186,0.587435424
187,0.99997431
188,1.549050331
189,1.33006835
190,1.295711637
191,1.413625121
192,2.184936285
193,1.046897769
194,1.45147562
195,1.228768468
196,1.945694089
197,1.271320224
198,2.232410431
199,2.73138237
200,0.655495167
201,2.107744217
202,0.654941022
203,1.393367529
204,1.513471484
205,1.216625571
206,2.610695839
207,2.867585897
208,1.731856585
209,0.571031451
210,1.267911792
211,1.990188122
212,1.744328856
213,1.731235027
214,2.353109121
215,2.047605753
216,1.168004513
217,1.300913453
218,0.642592788
219,1.09605217
220,1.641648769
221,1.543230891
222,1.317463994
223,1.47350347
224,2.163031101
225,0.79346776
226,1.167135
227,1.134182572
228,1.983296514
229,1.006229043
230,2.041793823
231,2.857864857
232,0.531100869
233,2.053333282
234,0.585587382
235,1.475505114
236,1.379366875
237,1.369949341
238,2.689472198
239,2.98438096
240,1.618566632
241,0.476893336
242,1.085484385
243,1.865558624
244,1.633594275
245,1.696167111
246,2.203626394
247,2.140781164
248,1.0852772
249,1.28464973
250,0.690594077
251,1.345102549
252,1.801527262
253,1.429792166
254,1.253951907
255,1.317177773
256,2.131416559
257,1.205199718
258,1.369124055
259,0.926194251
260,1.677422404
261,1.298056364
262,2.138318539
263,2.760054111
264,0.607842565
265,1.883201003
266,0.838345528
267,1.314709544
268,1.57341969
269,0.958692253
270,2.402166128
271,2.905844927
272,1.531870127
273,0.500654936
274,1.136386871
275,2.016639233
276,1.473012567
277,1.60727334
278,2.23315835
279,1.858944416
280,1.066861391
281,1.320904493
282,0.589962423
283,0.89494139
284,1.645524621
285,1.274563074
286,1.256118417
287,1.392927766
288,2.235714912
289,1.056523681
290,1.254928589
291,1.070690989
292,1.840309024
293,1.177445173
294,2.093630552
295,2.74583292
296,0.216357157
297,1.876168728
298,0.928712785
299,1.594653964
300,1.288177013
301,1.236010432
302,3.009293556
303,2.803943157
304,1.758222342
305,0.417130023
306,1.093381643
307,1.751014829
308,1.681054115
309,1.573035836
310,2.365265369
311,2.094706535
312,0.970861375
313,1.278092861
314,0.619630456
315,1.078240395
316,1.548600078
317,1.275668502
318,1.571689725
319,1.430600286
320,2.338284969
321,1.044839859
322,1.195868373
323,1.149321437
324,1.838220477
325,1.15140903
326,2.198912859
327,2.629781246
328,0.497766107
329,2.068288326
330,0.759718657
331,1.689772844
332,1.398857951
333,1.284565806
334,2.56913209
335,2.899703264
336,1.677412152
337,0.610759735
338,1.108030796
339,2.006144285
340,1.608733773
341,1.687647104
342,2.250137568
343,2.081362963
344,1.09573698
345,1.358012915
346,0.648497343
347,1.001178622
348,1.686738133
349,1.523051739
350,1.214397192
351,1.237115026
352,2.355192184
353,1.163354993
354,1.269892216
355,1.095200062
356,1.933131933
357,0.796532869
358,1.920647383
359,2.862445116
360,0.469380766
361,1.750830531
362,0.762153268
363,1.425861955
364,1.745054364
365,1.550397754
366,2.457174063
367,2.966789007
368,1.524132371
369,0.446693152
370,1.227721572
371,1.699909687
372,1.730027676
373,1.64950037
374,2.081944227
375,2.236901283
376,0.990805447
377,1.191804647
378,0.647324324
379,1.117691636
380,1.567008972
381,1.350668907
382,1.266277313
383,1.054397583
384,2.187997103
385,0.904788673
386,1.339517951
387,1.118548036
388,1.907394528
389,1.291172385
390,1.874428749
391,2.740515709
392,0.411224931
393,2.09701252
394,0.672190428
395,1.646190643
396,1.588755131
397,1.376761317
398,2.623907328
399,2.771832943
400,1.756768107
401,0.59048146
402,1.267862082
403,1.937213898
404,1.712948084
405,1.663922906
406,2.336925745
407,2.497074366
408,0.744646132
409,1.351940393
410,0.622566879
411,0.867971361
412,1.756576061
413,1.540719271
414,1.52786243
415,1.335218668
416,2.156531096
417,1.125536084
418,1.627578497
419,1.073519111
420,2.122074842
421,1.074580073
422,2.307217121
423,2.787532806
424,0.340829939
425,1.783138633
426,0.639689445
427,1.695800543
428,1.191269875
429,1.333566785
430,2.318285942
431,2.730166435
432,1.556975365
433,0.598145902
434,1.321333289
435,2.008649111
436,1.565287709
437,1.602781534
438,2.360470533
439,2.288469315
440,0.947811246
441,1.324757218
442,0.560175836
443,0.796053827
444,1.586405039
445,1.627410531
446,1.609256268
